-BEGIN HEADER-,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,
Dates (month/day/year): 01/01/2010 through 07/08/2021 ,,,,,
Location: Latitude  10.7726   Longitude 106.7042 ,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 25.1 meters   Site = na ,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,
Parameter(s): ,,,,,
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) ,,,,,
-END HEADER-,,,,,
LAT,LON,YEAR,MO,DY,PRECTOT
10.77261,106.70421,2010,9,25,11
10.77261,106.70421,2010,9,26,12.4
10.77261,106.70421,2010,9,27,12.84
10.77261,106.70421,2010,9,28,84.68
10.77261,106.70421,2010,9,29,10.4
10.77261,106.70421,2010,9,30,12.92
10.77261,106.70421,2010,10,1,38.88
10.77261,106.70421,2010,10,2,7.56
10.77261,106.70421,2010,10,3,74.16
10.77261,106.70421,2010,10,4,222.96
10.77261,106.70421,2010,10,5,131.76
10.77261,106.70421,2010,10,6,0.96
10.77261,106.70421,2010,10,7,11.24
10.77261,106.70421,2010,10,8,13.4
10.77261,106.70421,2010,10,9,100.6
10.77261,106.70421,2010,10,10,223.64
10.77261,106.70421,2010,10,11,105.4
10.77261,106.70421,2010,10,12,23.44
10.77261,106.70421,2010,10,13,87.76
10.77261,106.70421,2010,10,14,52.08
10.77261,106.70421,2010,10,15,55.16
10.77261,106.70421,2010,10,16,4.84
10.77261,106.70421,2010,10,17,24.12
10.77261,106.70421,2010,10,18,3.2
10.77261,106.70421,2010,10,19,8.32
10.77261,106.70421,2010,10,20,21.64
10.77261,106.70421,2010,10,21,117.64
10.77261,106.70421,2010,10,22,32.6
10.77261,106.70421,2010,10,23,3.48
10.77261,106.70421,2010,10,24,18.32
10.77261,106.70421,2010,10,25,2.4
10.77261,106.70421,2010,10,26,11.08
10.77261,106.70421,2010,10,27,9.68
10.77261,106.70421,2010,10,28,21.96
10.77261,106.70421,2010,10,29,2.6
10.77261,106.70421,2010,10,30,35
10.77261,106.70421,2010,10,31,31.16
10.77261,106.70421,2010,11,1,40.44
10.77261,106.70421,2010,11,2,102.92
10.77261,106.70421,2010,11,3,3.76
10.77261,106.70421,2010,11,4,1.8
10.77261,106.70421,2010,11,5,6.84
10.77261,106.70421,2010,11,6,15.04
10.77261,106.70421,2010,11,7,34.44
10.77261,106.70421,2010,11,8,27.56
10.77261,106.70421,2010,11,9,34.44
10.77261,106.70421,2010,11,10,95.2
10.77261,106.70421,2010,11,11,94.4
10.77261,106.70421,2010,11,12,6
10.77261,106.70421,2010,11,13,0.92
10.77261,106.70421,2010,11,14,4.48
10.77261,106.70421,2010,11,15,26.52
10.77261,106.70421,2010,11,16,25.28
10.77261,106.70421,2010,11,17,27.44
10.77261,106.70421,2010,11,18,18.08
10.77261,106.70421,2010,11,19,74.72
10.77261,106.70421,2010,11,20,23.16
10.77261,106.70421,2010,11,21,24.08
10.77261,106.70421,2010,11,22,84.6
10.77261,106.70421,2010,11,23,3.84
10.77261,106.70421,2010,11,24,3.92
10.77261,106.70421,2010,11,25,16.16
10.77261,106.70421,2010,11,26,8.44
10.77261,106.70421,2010,11,27,12.8
10.77261,106.70421,2010,11,28,16.88
10.77261,106.70421,2010,11,29,11.12
10.77261,106.70421,2010,11,30,8.52
10.77261,106.70421,2010,12,1,0.6
10.77261,106.70421,2010,12,2,0.4
10.77261,106.70421,2010,12,3,0.04
10.77261,106.70421,2010,12,4,1.08
10.77261,106.70421,2010,12,5,6.68
10.77261,106.70421,2010,12,6,1.56
10.77261,106.70421,2010,12,7,3.96
10.77261,106.70421,2010,12,8,0
10.77261,106.70421,2010,12,9,0
10.77261,106.70421,2010,12,10,0
10.77261,106.70421,2010,12,11,0.08
10.77261,106.70421,2010,12,12,0.08
10.77261,106.70421,2010,12,13,6.48
10.77261,106.70421,2010,12,14,50
10.77261,106.70421,2010,12,15,0.72
10.77261,106.70421,2010,12,16,9.56
10.77261,106.70421,2010,12,17,5.96
10.77261,106.70421,2010,12,18,0.04
10.77261,106.70421,2010,12,19,0.04
10.77261,106.70421,2010,12,20,6.4
10.77261,106.70421,2010,12,21,31.92
10.77261,106.70421,2010,12,22,0.72
10.77261,106.70421,2010,12,23,19.72
10.77261,106.70421,2010,12,24,0
10.77261,106.70421,2010,12,25,0
10.77261,106.70421,2010,12,26,0
10.77261,106.70421,2010,12,27,0
10.77261,106.70421,2010,12,28,2.96
10.77261,106.70421,2010,12,29,14.76
10.77261,106.70421,2010,12,30,0.08
10.77261,106.70421,2010,12,31,0.04
10.77261,106.70421,2011,1,1,0.04
10.77261,106.70421,2011,1,2,0
10.77261,106.70421,2011,1,3,0.44
10.77261,106.70421,2011,1,4,3.04
10.77261,106.70421,2011,1,5,7.76
10.77261,106.70421,2011,1,6,3.96
10.77261,106.70421,2011,1,7,0.04
10.77261,106.70421,2011,1,8,0
10.77261,106.70421,2011,1,9,0
10.77261,106.70421,2011,1,10,0
10.77261,106.70421,2011,1,11,0
10.77261,106.70421,2011,1,12,0
10.77261,106.70421,2011,1,13,0
10.77261,106.70421,2011,1,14,0
10.77261,106.70421,2011,1,15,0
10.77261,106.70421,2011,1,16,0
10.77261,106.70421,2011,1,17,0
10.77261,106.70421,2011,1,18,0
10.77261,106.70421,2011,1,19,0
10.77261,106.70421,2011,1,20,0
10.77261,106.70421,2011,1,21,0.12
10.77261,106.70421,2011,1,22,3.44
10.77261,106.70421,2011,1,23,7.56
10.77261,106.70421,2011,1,24,0.4
10.77261,106.70421,2011,1,25,1.04
10.77261,106.70421,2011,1,26,0.04
